"_type","availability","category","list_price","name","part_number","price","quantity","rating","rating_count","seller","subcategory","thirdparty","uom"
"ProductItem","1","Small Animals","","Pets Pick Corn Cob Bedding 9 l","100575571","5.22","304.76215","4.8182","11","Walmart","Small Animal Bedding & Litter","false","fl-oz"
"ProductItem","1","Dog Bark Control","","Petrainer PET998D1 330 yards Remote Dog Training ECollar for SmallMediumLarge Dogs","101698877","17.99","","1.0","4","iPets Inc","","true",""
"ProductItem","1","Dogs","","Pet Magasin Beige Pet Seat Cover for Car Seats Hammock Style Cover Protects","100553901","26.99","","5.0","1","Pet Magasin Direct","Dog Carriers & Travel","true",""
"ProductItem","1","Horses","","Farnam SandClear Natural Psyllium Crumbles 3 lbs 2 Pack","101681580","84.24","2.0","","","VirVentures","Farnam Central Life","true","pk"
"ProductItem","1","Dogs","","Pig Pet Costume","100022363","34.2","","","","Costume Zoo","Dog Apparel","true",""
"ProductItem","1","Reptiles","","Sunning Heat Lamp Day Night Infrared Combo Pack 75 Watt","101349082","15.99","","","","Pidaz","Reptile Habitat Heat Lamps","true",""
"ProductItem","1","Cats","","Unisex Pet Winter Clothes Puppy Dog Cat Coat Dress Sweater Apparel","100359957","13.89","","","","ChinMing","Cat Apparel & Collars","true",""
"ProductItem","1","Dogs","15.11","PET PRODUCTS 448009 Timothy Carrot for Pets 100 allnatural timothy hay accessories are handwoven to perfection By Oxbow","101405700","11.19","","","","EFTRADING","Dog Food & Treats","true",""
"ProductItem","1","Cats","59.99","Pet Carrier Bag Crate Kennel Portable Folding Soft Side for Puppy Dog Kitten Cat small animal suitable for Airline Travel 21inch up to 16 Pounds by KritterWorld","101413944","23.99","","3.8","10","FlyingStar LLC","Cat Furniture Shop","true",""
"ProductItem","1","Dogs","44.2","Dino Dog Pajamas Green XSmall","102614004","33.9","","","","UnbeatableSale","Dog Apparel","true",""
"ProductItem","2","Dogs","27.98","Blue Cold Weather Dog Warm Vest Jacket Coat Pet Winter Clothes Gits for Small Medium Large Dogs Waterproof Warm Pet Coats for Winter S","100353893","13.99","","1.0","4","Uco Hub LLC","Dog Costumes & Clothing","true",""
"ProductItem","1","Reptiles","","Flukers Reptile Vitamin with Beta Carotene 15 oz Pack of 4","101218892","31.27","4.0","","","Palatial Products","Fluker's Farms Reptile Food","true","pk"
"ProductItem","1","Reptiles","","ZOO MEDAQUATROL INC DESIGNER TERRARIUM 10G NEONPNK","102560016","73.02","10.0","","","Palatial Products","Gecko Tanks & Habitats","true","g"
"ProductItem","1","Reptiles","","Plastic Turtle Hideout Spot Hut Decor Ornament for Reptile Tank Terrariums","100586868","9.34","","","","Tasharina Corp","Reptile Decor - Terrariums, Tanks, & Habitats","true",""
"ProductItem","1","Birds","","Wagners 5 Lb 100 Striped Sunflower Seed","101178223","10.65","5.0","5.0","4","Walmart","Bird Food","false","lb"
"ProductItem","2","Garden Center","11.82","Pennington Ceramic Peacock Planter 8 inch Turquoise","101012453","9.74","","5.0","1","Walmart","Pots & Planters","false",""
"ProductItem","1","Horses","","Virkon S Disinfectant Swine Kennel Equipment Poultry Equine 10 Pounds","102512170","77.9","","","","Santa Cruz Animal Health","Horse Supplies","true",""
"ProductItem","1","Horses","","Virkon S Disinfectant Swine Kennel Equipment Poultry Equine 10 Pounds","102512170","80.99","","","","Piccard meds 4 pets Corp","Horse Supplies","true",""
"ProductItem","1","Horses","100.96","Virkon S Disinfectant Swine Kennel Equipment Poultry Equine 10 Pounds","102512170","77.56","","","","UnbeatableSale","Horse Supplies","true",""
"ProductItem","1","Birds","","Sunnydaze Outdoor Hanging Wild Bird Feeder Steel Wire Caged 4Peg 12Inch Black","101983847","41.95","","5.0","1","Walmart","Wild Bird Accessories","false",""
"ProductItem","1","Birds","52.99","Sunnydaze Outdoor Hanging Wild Bird Feeder Steel Wire Caged 4Peg 12Inch Black","101983847","41.95","","5.0","1","Serenity Health Home Decor","Wild Bird Accessories","true",""
"ProductItem","1","Dogs","","Paws Aboard Neoprene Designer Doggy Life Jacket Blue Green XXSmall For Dogs 26 lbs Pack of 4","101998294","88.54","4.0","","","Palatial Products","Dog Apparel","true","pk"
"ProductItem","1","Dogs","","Pooch Pouch Front Carrier Medium Gray","100433013","27.99","","","","Walmart","Dog Carriers & Travel","false",""
"ProductItem","1","Dogs","","Pooch Pouch Front Carrier Medium Gray","100433013","35.25","","","","Piccard meds 4 pets Corp","Dog Carriers & Travel","true",""
"ProductItem","1","Dogs","","Pooch Pouch Front Carrier Medium Gray","100433013","35.75","","","","ProMax Commerce","Dog Carriers & Travel","true",""
"ProductItem","1","Dogs","","Pooch Pouch Front Carrier Medium Gray","100433013","27.99","","","","Ablackhorse","Dog Carriers & Travel","true",""
"ProductItem","1","Dogs","51.99","Pooch Pouch Front Carrier Medium Gray","100433013","31.99","","","","AlotOfHome","Dog Carriers & Travel","true",""
"ProductItem","1","Dogs","","Pooch Pouch Front Carrier Medium Gray","100433013","39.18","","","","Little Family Members","Dog Carriers & Travel","true",""
"ProductItem","1","Dogs","","Pooch Pouch Front Carrier Medium Gray","100433013","46.49","","","","canem llc","Dog Carriers & Travel","true",""
"ProductItem","1","Dogs","","Pooch Pouch Front Carrier Medium Gray","100433013","49.75","","","","Valo Market","Dog Carriers & Travel","true",""
"ProductItem","1","Small Animals","","YML 6804 38 Bar Spacing Tall Shall Top Bird Cage with Stand 18 x 14Small Black","101465195","128.95","","","","Walmart","Hamster Supplies","false",""
"ProductItem","1","Small Animals","","YML 6804 38 Bar Spacing Tall Shall Top Bird Cage with Stand 18 x 14Small Black","101465195","128.95","","","","Peazz","Hamster Supplies","true",""
"ProductItem","1","Reptiles","","Exo Terra Small 75Gallon Desert Reptile Habitat Kit","101893259","94.3","","5.0","1","Walmart","Reptile Terrariums - Reptile Tanks & Habitats","false",""
"ProductItem","1","Reptiles","","Exo Terra Small 75Gallon Desert Reptile Habitat Kit","101893259","103.49","","5.0","1","joshsfrogs","Reptile Terrariums - Reptile Tanks & Habitats","true",""
"ProductItem","2","Dogs","","Vibrant Life Reflective Dog Harness Pink Extra Small","100149674","9.87","","","","Walmart","Dog Collars, Leashes & Harnesses","false",""
"ProductItem","1","Dogs","","NUTRO WHOLESOME ESSENTIALS Senior Small Breed Dry Dog Food FarmRaised Chicken Brown Rice Sweet Potato Recipe 5 lb Bag","100598888","14.96","5.0","4.6477","88","Walmart","Dog Food & Treats","false","lb"
"ProductItem","1","Dogs","20.96","Pets Dog Life Jacket Buoyant Secure Float Vest Outdoor Water Swimming Safety Preserver Adjustable Reflecting Padding Clothing","100297453","19.7","","","","Joybuy","Dog Apparel","true",""
"ProductItem","1","Dogs","","Groovypets 1Dog Remote Dog Training Collar SystemsRechargeable Dog Collar No Bark Remote Obedience Training Shock Collar System","100357669","34.95","","5.0","1","LEGEND ZONE","Dog Training & Obedience","true",""
"ProductItem","1","Dogs","","Dogwidgets DW17 Remote Dog Training Collar Beep Vibrate Shock WaterResistant Collar","102516476","34.99","","4.4118","34","Dog Widgets For Less Inc","Dog Training & Obedience","true",""
"ProductItem","1","Horses","","Horse Bug Mosquito Fly Sheet Summer Spring Airflow Mesh UV Neck 73139","100118627","53.99","","","","Tackrus","Horse Supplies","true",""
"ProductItem","2","Horses","","6684 HILASON 1200D WATERPROOF WINTER TURNOUT HORSE BLANKET BELLY WRAP US FLAG","100678147","84.95","","5.0","1","Tackxas Saddle Leather Superstore","Horse Supplies","true",""
"ProductItem","1","Horses","","BONIDE PRODUCTS INC Revenge Horse Stable Fly Spray Spray Bottle 32oz size 46172","101246449","13.99","32.0","","","Beaver Creek Pet Supplies","Horse Fly Repellent","true","oz"
"ProductItem","1","Horses","","BONIDE PRODUCTS INC Revenge Horse Stable Fly Spray Spray Bottle 32oz size 46172","101246449","16.09","32.0","","","JB Tool Sales","Horse Fly Repellent","true","oz"
"ProductItem","1","Horses","","BONIDE PRODUCTS INC Revenge Horse Stable Fly Spray Spray Bottle 32oz size 46172","101246449","7.36","32.0","","","GDW","Horse Fly Repellent","true","oz"
"ProductItem","1","Horses","","BONIDE PRODUCTS INC Revenge Horse Stable Fly Spray Spray Bottle 32oz size 46172","101246449","21.05","32.0","","","Factory Hardware Store","Horse Fly Repellent","true","oz"
"ProductItem","1","Birds","","Kaytee Products 100037440 Wild Bird Food 10Lb","102092804","17.09","","","","ProMax Commerce","Wild Bird Food","true",""
"ProductItem","1","Birds","","Kaytee Products 100037440 Wild Bird Food 10Lb","102092804","17.11","","","","Rons Home and Hardware","Wild Bird Food","true",""
"ProductItem","1","Birds","","Kaytee Products 100037440 Wild Bird Food 10Lb","102092804","20.05","","","","TrueValueSuperStore","Wild Bird Food","true",""
"ProductItem","1","Birds","","Kaytee Products 100037440 Wild Bird Food 10Lb","102092804","21.63","","","","AimToFind","Wild Bird Food","true",""
"ProductItem","1","Birds","","Kaytee Products 100037440 Wild Bird Food 10Lb","102092804","22.99","","","","K Hardware","Wild Bird Food","true",""
"ProductItem","1","Birds","","Kaytee Products 100037440 Wild Bird Food 10Lb","102092804","7.68","","","","UnbeatableSale","Wild Bird Food","true",""
"ProductItem","1","Halloween","","Halloween Aviator Hat and Scarf Set Pet Costume","100974236","10.47","","3.0","2","Pure Costumes","All Halloween Costumes","true",""
"ProductItem","1","Halloween","","Halloween Aviator Hat and Scarf Set Pet Costume","100974236","10.95","","3.0","2","Costume Zoo","All Halloween Costumes","true",""
"ProductItem","1","Halloween","","Halloween Aviator Hat and Scarf Set Pet Costume","100974236","14.19","","3.0","2","TrendyHalloween","All Halloween Costumes","true",""
"ProductItem","1","Halloween","","Halloween Aviator Hat and Scarf Set Pet Costume","100974236","15.49","","3.0","2","Faery Nice Things Inc","All Halloween Costumes","true",""
"ProductItem","1","Halloween","","Halloween Aviator Hat and Scarf Set Pet Costume","100974236","24.95","","3.0","2","Rocky Mountain Textbooks","All Halloween Costumes","true",""
"ProductItem","2","Horses","","Amigo Bug Rug Fly Sheet 72 SilverPurpleMint","102674999","109.95","","","","Statelinetack","Horse Fly Sheets","true",""
"ProductItem","2","Horses","","Ecovet Horse Fly Repellent Spray 18 oz","102693099","15.91","18.0","4.5","2","Walmart","Horse Supplies","false","oz"
"ProductItem","1","Horses","","UltraCruz Horse Foaming Medicated Shampoo with Travel Applicator 32 oz","102737073","23.9","32.0","","","Santa Cruz Animal Health","Horse Supplies","true","oz"
"ProductItem","1","Horses","13.99","Sentry Fly Repellent Spray for Dogs 61 oz","102830758","8.52","6.1","","","AlotOfHome","Fly Repellents","true","oz"
"ProductItem","1","Horses","21.28","Sentry Fly Repellent Spray for Dogs 61 oz","102830758","16.27","6.1","","","UnbeatableSale","Fly Repellents","true","oz"
"ProductItem","1","Dogs","","Spring And Summer Camouflage Multiple Sizes Mesh Vest Dog Costumes Pet Clothes","102885802","8.63","","","","E BOUCHARD COMPANY","Dog Apparel","true",""
"ProductItem","1","Horses","","Mane N Tail Detangler 12 Fl Oz Spray Bottle","10293242","9.56","12.0","3.8333","12","Pharmapacks","Horse Supplies","true","fl-oz"
"ProductItem","1","Horses","","Mane N Tail Detangler 12 Fl Oz Spray Bottle","10293242","10.43","12.0","3.8333","12","Overstock Drugstore","Horse Supplies","true","fl-oz"
"ProductItem","1","Horses","","Mane N Tail Detangler 12 Fl Oz Spray Bottle","10293242","10.58","12.0","3.8333","12","OTCRx4U","Horse Supplies","true","fl-oz"
"ProductItem","1","Horses","","Mane n Tail Shampoo Body 32 Fl Oz Plastic Bottle","10293243","5.49","32.0","4.67","100","Walmart","Horse Grooming","false","fl-oz"
"ProductItem","1","Horses","","Mane n Tail Moisturizer Texturizer Conditioner 32 fl oz Plastic Bottle","10293244","5.49","32.0","4.6869","99","Walmart","Horse Health Care","false","fl-oz"
"ProductItem","1","Horses","","Barrier II Wound Care Spray with Pain Relief 16 oz","102937098","32.92","16.0","","","Pet Wish Pros","Horse Health Care","true","oz"
"ProductItem","1","Small Animals","","Zoo Med Aspen Snake Bedding 4 Quarts Pack of 12","103026648","52.22","12.0","","","Palatial Products","Small Animal Bedding & Litter","true","pk"
"ProductItem","1","Dogs","","New Dog Training Control Collar Waterproof AntiBark Device LCD 7 Gears Sensitivity System USB Rechargeable No Barking Pet Ultrasonic Harmless Adjustable Humane Vibration Rainproof","103066346","13.99","","","","KWANSHOP","Dog Training & Obedience","true",""
"ProductItem","1","Halloween","","100526864 Farnam Supermask II Classic Horse Fly Mask Without Ears","103068346","39.14","","","","ADVENTURERS BAG","Halloween Accessories","true",""
"ProductItem","1","Pet Stain & Odor Remover","","OUT Pet Stain Odor Remover 32 oz","10311210","17.42","32.0","4.4815","54","AMI Ventures Inc","","true","oz"
"ProductItem","1","Dogs","","Doggie Stylz Set of 2 Reflective THERAPY DOG Removable Patches for Service dog harnesses vests","103126445","10.99","","","","Walmart","Dog Apparel","false",""
"ProductItem","1","Reptiles","","Wardley Reptile Sticks 475 OZ","10313405","4.47","4.75","4.7333","15","Walmart","Turtle Food","false","oz"
"ProductItem","2","Nutro Wholesome Essentials","","NUTRO WHOLESOME ESSENTIALS Senior Dry Dog Food FarmRaised Chicken Brown Rice Sweet Potato Recipe 15 lb Bag","103157053","29.92","15.0","4.8938","160","Walmart","","false","lb"
"ProductItem","1","Horses","","Merial Zimecterin Anthelmintic and Boticide Dewormer 021 oz","10316356","14.98","0.21","","","Walmart","Horse Health Care","false","oz"
"ProductItem","1","Horses","","Absorbine Vet Liniment for HORSES 16 oz","10316883","16.19","16.0","4.6667","6","Pharmapacks","Horse Supplies","true","oz"
"ProductItem","1","Horses","","Absorbine Vet Liniment for HORSES 16 oz","10316883","19.29","16.0","4.6667","6","OTCRx4U","Horse Supplies","true","oz"
"ProductItem","1","Horses","","Absorbine Vet Liniment for HORSES 16 oz","10316883","19.9","16.0","4.6667","6","Santa Cruz Animal Health","Horse Supplies","true","oz"
"ProductItem","1","Horses","","Absorbine Vet Liniment for HORSES 16 oz","10316883","20.65","16.0","4.6667","6","NVC Livestock Concepts","Horse Supplies","true","oz"
"ProductItem","1","Horses","","Absorbine Vet Liniment for HORSES 16 oz","10316883","13.6","16.0","4.6667","6","Western Direct","Horse Supplies","true","oz"
"ProductItem","1","Horses","","Absorbine Vet Liniment for HORSES 16 oz","10316883","23.99","16.0","4.6667","6","Piccard meds 4 pets Corp","Horse Supplies","true","oz"
"ProductItem","1","Horses","","Absorbine Vet Liniment for HORSES 16 oz","10316883","17.39","16.0","4.6667","6","Statelinetack","Horse Supplies","true","oz"
"ProductItem","1","Horses","","Absorbine Vet Liniment for HORSES 16 oz","10316883","26.66","16.0","4.6667","6","Rons Home and Hardware","Horse Supplies","true","oz"
"ProductItem","1","Horses","","Absorbine Showsheen Hair Polish Detangler 32 fl oz","10316884","17.7","32.0","5.0","2","Walmart","Horse Supplies","false","fl-oz"
"ProductItem","1","Horses","","Absorbine Showsheen Hair Polish Detangler 32 fl oz","10316884","17.7","32.0","5.0","2","Santa Cruz Animal Health","Horse Supplies","true","fl-oz"
"ProductItem","1","Horses","","Absorbine Showsheen Hair Polish Detangler 32 fl oz","10316884","17.99","32.0","5.0","2","Piccard meds 4 pets Corp","Horse Supplies","true","fl-oz"
"ProductItem","1","Horses","","Absorbine Showsheen Hair Polish Detangler 32 fl oz","10316884","18.74","32.0","5.0","2","Home Horse n Hound","Horse Supplies","true","fl-oz"
"ProductItem","1","Horses","","Absorbine Showsheen Hair Polish Detangler 32 fl oz","10316884","24.36","32.0","5.0","2","ProMax Commerce","Horse Supplies","true","fl-oz"
"ProductItem","1","Horses","","Absorbine Showsheen Hair Polish Detangler 32 fl oz","10316884","37.79","32.0","5.0","2","NVC Livestock Concepts","Horse Supplies","true","fl-oz"
"ProductItem","1","Horses","","Absorbine Showsheen Hair Polish Detangler 32 fl oz","10316884","40.49","32.0","5.0","2","Northwoods Trading Post","Horse Supplies","true","fl-oz"
"ProductItem","1","Horses","","W F Young Absorbine Veterinary Liniment Gel","10316885","16.89","12.0","4.9333","15","The Fitter Critter","Horse Supplies","true","oz"
"ProductItem","1","Horses","","W F Young Absorbine Veterinary Liniment Gel","10316885","16.99","12.0","4.9333","15","Piccard meds 4 pets Corp","Horse Supplies","true","oz"
"ProductItem","1","Horses","","W F Young Absorbine Veterinary Liniment Gel","10316885","17.11","12.0","4.9333","15","Santa Cruz Animal Health","Horse Supplies","true","oz"
"ProductItem","1","Horses","","W F Young Absorbine Veterinary Liniment Gel","10316885","17.95","12.0","4.9333","15","Kwik Retail LLC","Horse Supplies","true","oz"
"ProductItem","1","Horses","","W F Young Absorbine Veterinary Liniment Gel","10316885","18.95","12.0","4.9333","15","THE CAROUSEL HORSE LLC","Horse Supplies","true","oz"
"ProductItem","1","Horses","","W F Young Absorbine Veterinary Liniment Gel","10316885","15.25","12.0","4.9333","15","Western Direct","Horse Supplies","true","oz"
"ProductItem","1","First Aid","","Manna Pro Corona Ointment 14 oz","10316887","16.67","14.0","3.375","8","Santa Cruz Animal Health","Antiseptics","true","oz"
"ProductItem","1","First Aid","","Manna Pro Corona Ointment 14 oz","10316887","18.08","14.0","3.375","8","drugsupplystore","Antiseptics","true","oz"
"ProductItem","1","First Aid","","Manna Pro Corona Ointment 14 oz","10316887","19.8","14.0","3.375","8","Piccard meds 4 pets Corp","Antiseptics","true","oz"
"ProductItem","1","First Aid","","Manna Pro Corona Ointment 14 oz","10316887","13.99","14.0","3.375","8","Western Direct","Antiseptics","true","oz"
"ProductItem","1","First Aid","","Manna Pro Corona Ointment 14 oz","10316887","13.99","14.0","3.375","8","Ablackhorse","Antiseptics","true","oz"
"ProductItem","1","First Aid","","Manna Pro Corona Ointment 14 oz","10316887","21.95","14.0","3.375","8","Rods Western Palace","Antiseptics","true","oz"
"ProductItem","1","First Aid","","Manna Pro Corona Ointment 14 oz","10316887","13.99","14.0","3.375","8","Statelinetack","Antiseptics","true","oz"
"ProductItem","1","First Aid","","Manna Pro Corona Ointment 14 oz","10316887","22.98","14.0","3.375","8","Tackxas Saddle Leather Superstore","Antiseptics","true","oz"
"ProductItem","1","First Aid","","Manna Pro Corona Ointment 14 oz","10316887","23.49","14.0","3.375","8","Northwoods Trading Post","Antiseptics","true","oz"
"ProductItem","1","Small Animals","","Wild Harvest Cage Cleaning Deodorizing Spray 16 oz","10318430","5.58","16.0","4.5714","7","Walmart","Small Animal Health Care","false","oz"
"ProductItem","1","Small Animals","","Wild Harvest Edible Logz Hide Away Treat for Small Animals 85 oz","10318464","5.37","8.5","4.3478","23","Walmart","Small Animal Treats","false","oz"
"ProductItem","1","Health & Safety","","SAFEGUARD","10318959","13.65","","5.0","2","All Veterinary Supply Inc","Baby Proofing","true",""
"ProductItem","1","Health & Safety","","SAFEGUARD","10318959","15.4","","5.0","2","Pet Wish Pros","Baby Proofing","true",""
"ProductItem","1","Health & Safety","","SAFEGUARD","10318959","20.63","","5.0","2","Tackxas Saddle Leather Superstore","Baby Proofing","true",""
"ProductItem","1","Health & Safety","","SAFEGUARD","10318959","21.04","","5.0","2","ProMax Commerce","Baby Proofing","true",""
"ProductItem","1","Health & Safety","","SAFEGUARD","10318959","21.81","","5.0","2","Rons Home and Hardware","Baby Proofing","true",""
"ProductItem","1","Health & Safety","","SAFEGUARD","10318959","25.99","","5.0","2","K Hardware","Baby Proofing","true",""
"ProductItem","1","Health & Safety","","SAFEGUARD","10318959","26.9","","5.0","2","Factory Hardware Store","Baby Proofing","true",""
"ProductItem","2","Small Animals","","AlfaPet Aspen Bedding Small Animals Bedding","10320821","3.38","","4.3143","35","Walmart","Small Animal Bedding & Litter","false",""
"ProductItem","1","Small Animals","","Marshall Bandits Ferret Treat Banana 375lbs 20 x 3oz","103225126","57.99","3.0","","","ValuePetSupplies","Ferret Food & Treats","true","oz"
"ProductItem","2","Small Animals","","Family Farm Cracked And Cleaned Corn Animal Feed 40 lbs","10323561","0.0","40.0","4.6364","11","Walmart","Small Animal Food","false","oz"
"ProductItem","1","Farm Animals","7.49","Manna Pro Crushed Oyster Shell Chicken Supplement 5 lbs","10323564","4.97","5.0","4.0","8","Walmart","Livestock Feed","false","lb"
"ProductItem","2","Horses","","Manna Pro Bucketsn Tubs","10323570","7.38","","5.0","2","Walmart","Horse Supplies","false",""
"ProductItem","1","Dogs","","Zoetis Strongid Paste Equine Anthelmintic 200 ML","10323586","14.45","20.0","","","Santa Cruz Animal Health","Dog Flea & Tick Supplies","true","lb"
"ProductItem","1","Dogs","","Zoetis Strongid Paste Equine Anthelmintic 200 ML","10323586","10.49","20.0","","","Jeffers","Dog Flea & Tick Supplies","true","lb"
"ProductItem","1","Fish","","Aqua Culture Critter Culture Basking Platform","10323659","10.67","1.0","2.8","5","Walmart","Aqua Culture Aquarium Ornaments","false","lb"
"ProductItem","1","Horses","11.0","Farnam Leather New EasyPolishing Glycerine Saddle Soap 16 fl oz","10323705","7.12","16.0","5.0","1","Walmart","Horse Nutrition & Supplements","false","fl-oz"
"ProductItem","1","Horses","","Farnam Leather New EasyPolishing Glycerine Saddle Soap 16 fl oz","10323705","13.33","16.0","5.0","1","Santa Cruz Animal Health","Horse Nutrition & Supplements","true","fl-oz"
"ProductItem","1","Horses","","Farnam Leather New EasyPolishing Glycerine Saddle Soap 16 fl oz","10323705","14.62","16.0","5.0","1","ProMax Commerce","Horse Nutrition & Supplements","true","fl-oz"
"ProductItem","1","Horses","","Farnam Leather New EasyPolishing Glycerine Saddle Soap 16 fl oz","10323705","16.86","16.0","5.0","1","Supply the Home","Horse Nutrition & Supplements","true","fl-oz"
"ProductItem","1","Horses","15.81","Farnam Leather New EasyPolishing Glycerine Saddle Soap 16 fl oz","10323705","9.98","16.0","5.0","1","SIM Supply Inc","Horse Nutrition & Supplements","true","fl-oz"
"ProductItem","1","Horses","","Farnam Leather New EasyPolishing Glycerine Saddle Soap 16 fl oz","10323705","16.99","16.0","5.0","1","Samis Shop","Horse Nutrition & Supplements","true","fl-oz"
"ProductItem","1","Horses","","Farnam Leather New EasyPolishing Glycerine Saddle Soap 16 fl oz","10323705","18.36","16.0","5.0","1","Rons Home and Hardware","Horse Nutrition & Supplements","true","fl-oz"
"ProductItem","1","Horses","","Farnam Leather New EasyPolishing Glycerine Saddle Soap 16 fl oz","10323705","19.58","16.0","5.0","1","Sirr0und INC","Horse Nutrition & Supplements","true","fl-oz"
"ProductItem","1","Horses","","Farnam Leather New EasyPolishing Glycerine Saddle Soap 16 fl oz","10323705","20.91","16.0","5.0","1","AimToFind","Horse Nutrition & Supplements","true","fl-oz"
"ProductItem","1","Horses","","Farnam Leather New EasyPolishing Glycerine Saddle Soap 16 fl oz","10323705","20.99","16.0","5.0","1","K Hardware","Horse Nutrition & Supplements","true","fl-oz"
"ProductItem","1","Horses","","Farnam Leather New EasyPolishing Glycerine Saddle Soap 16 fl oz","10323705","21.03","16.0","5.0","1","Factory Hardware Store","Horse Nutrition & Supplements","true","fl-oz"
"ProductItem","1","Horses","","Farnam Leather New EasyPolishing Glycerine Saddle Soap 16 fl oz","10323705","21.65","16.0","5.0","1","Toolboxsupply","Horse Nutrition & Supplements","true","fl-oz"
"ProductItem","1","Horses","","Farnam Leather New EasyPolishing Glycerine Saddle Soap 16 fl oz","10323705","22.62","16.0","5.0","1","VirVentures","Horse Nutrition & Supplements","true","fl-oz"
"ProductItem","1","Horses","","Farnam Leather New EasyPolishing Glycerine Saddle Soap 16 fl oz","10323705","23.96","16.0","5.0","1","Product Direct","Horse Nutrition & Supplements","true","fl-oz"
"ProductItem","1","Horses","15.74","Farnam Leather New EasyPolishing Glycerine Saddle Soap 16 fl oz","10323705","11.56","16.0","5.0","1","UnbeatableSale","Horse Nutrition & Supplements","true","fl-oz"
"ProductItem","2","Sports","","HILASON 600D WINTER WATERPROOF POLY TURNOUT HORSE BLANKET ORANGE BLACK","103327413","84.95","","","","Tackxas Saddle Leather Superstore","Equestrian Gear","true",""
"ProductItem","1","Dogs","","Basket Cage Dog Muzzle Size","103408484","9.49","","1.8571","7","Downtown Pet Supply","Dog Training & Obedience","true",""
"ProductItem","1","Dogs","35.1","klippopet kbd072sz silly monkey fleece turtleneck pajamas burgundy small","103481129","22.0","","","","UnbeatableSale","Dog Apparel","true",""
"ProductItem","1","Reptiles","","Zoo Med Gourmet Box Turtle Food 15 oz Pack of 2","103501360","34.64","2.0","","","Palatial Products","Zoo Med Turtle Food","true","pk"
"ProductItem","1","Reptiles","","ExoTerra Desert Finger Cactus Terrarium Plant 1 Pack Pack of 6","103509274","54.06","6.0","","","Palatial Products","Gecko Tanks & Habitats","true","pk"
"ProductItem","1","Reptiles","","Zoo Med Tortoise Box Turtle Flower Food Topper 021 oz Pack of 2","103519239","18.71","2.0","","","Palatial Products","Zoo Med Turtle Food","true","pk"
"ProductItem","1","Dogs","","Nylon Muzzle for CATS LARGE BLUE","103547245","11.99","","","","Piccard meds 4 pets Corp","Dog Training & Obedience","true",""
"ProductItem","1","Reptile","","GE 48709 40T10FRVLCD1 Standard Plant Aquarium Terrarium Light Bulb","103551497","5.89","","","","Light Bulbs","Gecko Supplies","true",""
"ProductItem","1","Farm Animals","","HENTASTIC DRIED MEALWORMS CHICKEN TREATS","103559777","23.15","","","","Ablackhorse","Livestock Feed","true",""
"ProductItem","1","Farm Animals","","HENTASTIC DRIED MEALWORMS CHICKEN TREATS","103559777","32.28","","","","ProMax Commerce","Livestock Feed","true",""
"ProductItem","1","Farm Animals","","HENTASTIC DRIED MEALWORMS CHICKEN TREATS","103559777","33.06","","","","VirVentures","Livestock Feed","true",""
"ProductItem","1","Farm Animals","","HENTASTIC DRIED MEALWORMS CHICKEN TREATS","103559777","32.49","","","","Jeffers","Livestock Feed","true",""
"ProductItem","1","Farm Animals","","HENTASTIC DRIED MEALWORMS CHICKEN TREATS","103559777","42.97","","","","Northwoods Trading Post","Livestock Feed","true",""
"ProductItem","1","Reptiles","","Exo Terra Plantation Soil 8 qt 3 Pack","103681009","5.99","3.0","","","Walmart","Reptile Bedding & Substrate","false","pk"
"ProductItem","1","Reptiles","","Exo Terra Plantation Soil 8 qt 3 Pack","103681009","16.92","3.0","","","joshsfrogs","Reptile Bedding & Substrate","true","pk"
"ProductItem","1","Reptiles","","Exo Terra Plantation Soil 8 qt 3 Pack","103681009","16.99","3.0","","","ValuePetSupplies","Reptile Bedding & Substrate","true","pk"
"ProductItem","1","Reptiles","","Zoo Med Repti Therm Under Tank Reptile Heater 4 Watts 5 Long x 4 Wide up to 5 Gallons Pack of 3","103780396","54.93","3.0","","","Palatial Products","Gecko Supplies","true","pk"
"ProductItem","1","Dogs","","Dog Training Waterproof E Collar with Rechargeable Remote for 1 or 2 Dogs","103794811","39.99","","","","Downtown Pet Supply","Dog Training & Obedience","true",""
"ProductItem","2","Garden Center","","Pennington Ceramic Peacock Planter 6 inch Turquoise","103864485","5.33","","","","Walmart","Pots & Planters","false",""
"ProductItem","1","Dogs","21.83","Dog and Cat Sling Carrier Hands Free Reversible Pet Papoose Bag Outdoor Travel Bag Tote Reversible Suitable for Puppy Small Dogs and CatsRose Red L","103871639","14.55","","5.0","1","Fortressmount","Dog Carriers & Travel","true",""
"ProductItem","1","Farm Animals","19.85","Little Giant Hook Over Feed Pail 2 Gallon","103885856","11.58","","","","UnbeatableSale","Farm Animal Supplies","true",""
"ProductItem","1","Dogs","","Casual Canine Santa Pajama SmallMedium Red","103959619","22.94","","","","Healthypets","Dog Apparel","true",""
"ProductItem","1","Reptiles","","Zoo Med Repti Ramp Bowl XLarge 1275L x 95W Pack of 12","104111603","268.62","12.0","","","Palatial Products","Turtle Supplies","true","pk"
"ProductItem","1","Reptiles","","GE 22920 F15T8ARSA Fluorescent Plant Aquarium Terrarium Tube Light Bulb","104241613","11.1","","","","Light Bulbs International","Gecko Supplies","true",""
